reg,District
1,Adansi North
1,Afigya-Kwabre
1,Kwabre
1,Offinso North
1,Ejisu-Juaben Municipal
1,Mampong Municipal
1,Amansie West
1,Sekyere Central
1,Sekyere South
1,Atwima-Kwanwoma
1,Sekyere East
1,Amansie Central
1,Adansi South
1,Atwima-Nwabiagya
1,Asante-Akim North Municipal
1,Bosomtwe
1,Obuasi Municipal
1,Ahafo-Ano North
1,Sekyere Afram Plains
1,Bosome Freho
1,Ejura Sekyeredumasi
1,Asante-Akim South
1,Atwima-Mponua
1,Bekwai Municipal
1,Offinso Municipal
1,Ahafo-Ano South
1,Kumasi Metropolitan
2,Asunafo North Municipal
2,Asunafo South
2,Asutifi
2,Atebubu-Amanten
2,Berekum Municipal
2,Dormaa Municipal
2,Dormaa East
2,Jaman North
2,Jaman South
2,Kintampo North Municipal
2,Kintampo South
2,Nkoranza North
2,Pru
2,Sene
2,Tain
2,Tano North
2,Tano South
2,Techiman
2,Wenchi
2,Techiman Municipal
2,Wenchi Municipal
2,Sunyani Municipal
3,Abura-Asebu-Kwamankese
3,Ajumako-Enyan-Essiam
3,Asikuma-Odoben-Brakwa
3,Assin North Municipal
3,Assin South
3,Mfantseman
3,Twifu-Hemang-Lower Denkyira
3,Upper Denkyira East
3,Upper Denkyira West
3,Agona East
3,Agona West Municipal
3,Awutu Senya
3,Cape Coast Metropolitan
3,Efutu Municipal
3,Gomoa East
3,Gomoa West
3,Komenda-Edina-Eguafo-Abirem Municipal
4,Kwahu North
4,Akwapim North
4,Akwapim South
4,Asuogyamang
4,Atiwa
4,Birim North
4,Birim south
4,East Akim
4,Fanteakwa
4,Kwaebibirem
4,Kwahu South
4,Kwahu West
4,Manya Krobo
4,New Juaben
4,Suhum Kraboa Coaltar
4,West Akim
4,Yilo Krobo
4,Upper Manya
4,Kweabibirem
4,New Juaben Municipal
5,Accra Metropolitan
5,Ga East
5,Dangme East
5,Dangme West
5,Tema Metropolitan
5,Ga West
6,Bole
6,Bunkpurugu-Yunyuo
6,Central Gonja
6,East Gonja
6,East Mamprusi
6,Gushegu
6,Karaga
6,Nanumba North
6,Nanumba South
6,Saboba-Chereponi
6,Savelugu-Nanton
6,Sawla-Tuna-Kalba
6,Tamale Metropolitan
6,Tolon-Kumbungu
6,West Gonja
6,West Mamprusi
6,Yendi
6,Zabzugu-Tatale
7,Bawku Municipal
7,Bawku West
7,Bolgatanga Municipal
7,Bongo
7,Builsa
7,Garu-Tempane
7,Kassena-Nankana
7,Kassena-Nankana West
7,Talensi-Nabdam
7,Navrongo
8,Lambussie
8,Jirapa
8,Lawra
8,Nadowli
8,Sissala East
8,Sissala West
8,Wa East
8,Wa Municipal
8,Wa West
9,Adaklu-Anyigbe
9,Ho Municipal
9,Hohoe
9,Jasikan
9,Kadjebi
9,Keta
9,Ketu
9,Kpando
9,Krachi East
9,Krachi West
9,Nkwanta
9,North Tongu
9,South Dayi
9,South Tongu
9,Akatsi
10,Ahanta West
10,Aowin Suaman
10,Bia
10,Bibiani-Anhwiaso-Bekwai
10,Jomoro
10,Juabeso
10,Mpohor-Wassa East
10,Nzema East Municipal
10,Sefwi Wiawso
10,Sefwi-Akontombra
10,Sekondi-Takoradi Metropolitan Assembly
10,Shama
10,Wassa-Amenfi East
10,Wassa West
10,Prestea-Huni Valley
10,Tarkwa Nsuaem Municipal
10,Wassa-Amenfi West
10,Ellembele
10,Pretea-Huni Valley
